1	2.7089254401
2	2.9463868012
3	2.8000517064
4	2.9459431941
5	3.2822088361
6	3.4257866199
7	3.6795208049
8	3.8064268936
9	3.8762763296
10	3.9892274953
11	3.9808861875
12	4.0955367068
13	4.3161967929
14	4.4208478453
15	4.5315742170
16	4.5809846783
17	4.5984375009
18	4.6513476928
19	4.7574596857
20	4.7981275884
21	4.8725163710
22	4.9441291806
23	4.9999560713
24	5.0456486585
25	5.1125269222
26	5.2442477252
27	5.2863609901
28	5.3108274811
29	5.2937614490
30	5.4486106773
31	5.3051161174
32	5.5376234099
33	5.5584249581
34	5.6033222620
35	5.6213200265
36	5.5767396824
37	5.7220643320
38	5.7360538248
39	5.7160067315
40	5.7700698220
