1	1.8756245129	0.2731459000
2	1.3387627101	0.1267036070
3	0.8363742428	-0.0775993503
4	0.7835995524	-0.1059058207
5	0.9022700741	-0.0446634468
6	0.7743548248	-0.1110599913
7	1.0327279776	0.0139859426
8	1.0297997181	0.0127527686
9	0.9321750923	-0.0305025056
10	1.1137470993	0.0467865859
11	0.9394471787	-0.0271276335
12	1.0371124402	0.0158258437
13	0.9326859582	-0.0302645616
14	0.7921703287	-0.1011814284
15	0.7560705813	-0.1214376600
16	0.6870760818	-0.1629951696
17	0.6498154961	-0.1872099363
18	0.6493321450	-0.1875330969
19	0.6860376081	-0.1636520759
20	0.6462617432	-0.1895915523
21	0.6982716913	-0.1559755644
22	0.6464864968	-0.1894405418
23	0.6828608628	-0.1656677775
24	0.6917658298	-0.1600408940
25	0.6700208627	-0.1739116743
26	0.6469082164	-0.1891573328
27	0.5321796585	-0.2739417295
28	0.5040871165	-0.2974944022
29	0.4937731101	-0.3064725645
30	0.6345668090	-0.1975226474
31	0.3996053969	-0.3983686550
32	0.5501924997	-0.2594853343
33	0.6602295146	-0.1803050651
34	0.6177983634	-0.2091532465
35	0.6008809818	-0.2212115414
36	0.4486486710	-0.3480936144
37	0.6363726091	-0.1962885216
38	0.5879350128	-0.2306706759
39	0.5132941746	-0.2896336645
40	0.4862144815	-0.3131721102
