1	0.0627554768
2	0.0526571097
3	0.0330374161
4	0.0307402479
5	0.0548729652
6	0.0324293486
7	0.0329836501
8	0.0342169777
9	0.0410184352
10	0.0218672174
11	0.0876047966
12	0.0204393684
13	0.0810417631
14	0.0363530032
15	0.0835656440
16	0.0831121988
17	0.0810994326
18	0.0829059720
19	0.0317638434
20	0.0278905984
21	0.0861377811
22	0.0859012433
23	0.0458147656
24	0.0868940060
25	0.0879897863
26	0.0445368775
27	0.0848028943
28	0.0416275861
29	0.0878829453
30	0.0433971789
31	0.0812431889
32	0.0346467070
33	0.0857100013
34	0.0457972332
35	0.0811868171
36	0.0821310401
37	0.0395730650
38	0.0817588705
39	0.0388901210
40	0.0455024683
